ID,x_cen,y_cen,Cluster
577,261,368,7
578,1635,374,1
579,791,350,2
580,1022,363,0
581,88,380,4
582,1302,372,9
583,433,339,3
584,261,368,7
585,1634,375,1
586,791,350,2
587,88,379,4
588,1303,372,9
589,1023,363,0
590,432,339,3
591,260,368,7
592,791,350,2
593,88,379,4
594,1634,375,1
595,1302,372,9
596,261,368,7
597,432,339,3
598,1022,363,0
599,1635,375,1
600,1022,363,0
601,1304,373,9
602,791,351,2
603,88,379,4
604,433,339,3
605,261,369,7
606,1635,375,1
607,791,350,2
608,1303,372,9
609,1022,363,0
610,433,340,3
611,88,380,4
612,261,368,7
613,1634,374,1
614,791,350,2
615,1303,371,9
616,1022,362,0
617,88,379,4
618,432,338,3
619,261,367,7
620,1635,374,1
621,1022,363,0
622,791,350,2
623,1304,372,9
624,88,380,4
625,434,339,3
626,261,368,7
627,1636,374,1
628,144,836,-1
629,1023,363,0
630,792,351,2
631,1305,373,9
632,88,381,4
633,434,340,3
634,261,369,7
635,1636,375,1
636,792,351,2
637,1304,373,9
638,88,381,4
639,1023,363,0
640,434,340,3
641,262,369,7
642,1635,374,1
643,792,350,2
644,88,380,4
645,1303,371,9
646,434,338,3
647,261,368,7
648,1023,363,0
649,1635,374,1
650,792,351,2
651,88,380,4
652,1304,372,9
653,1023,363,0
654,261,368,7
655,434,339,3
656,1635,375,1
657,88,380,4
658,1304,372,9
659,792,351,2
660,1023,363,0
661,433,339,3
662,261,368,7
663,1635,375,1
664,791,351,2
665,88,379,4
666,1303,373,9
667,1022,363,0
668,260,368,7
669,434,339,3
670,1634,375,1
671,791,351,2
672,88,380,4
673,1304,373,9
674,434,339,3
675,259,369,7
676,1023,363,0
677,792,351,2
678,1635,374,1
679,91,379,4
680,260,367,7
681,1303,372,9
682,1022,363,0
683,433,338,3
684,1636,375,1
685,1023,363,0
686,1306,373,9
687,435,340,3
688,88,380,4
689,263,369,7
690,1636,377,1
691,944,831,-1
692,1023,364,0
693,88,383,4
694,1306,375,9
695,262,372,7
696,437,342,3
697,1023,364,0
698,782,355,2
699,1636,376,1
700,433,342,3
701,88,383,4
702,1305,375,9
703,262,371,7
704,1023,364,0
705,1635,377,1
706,777,353,2
707,432,341,3
708,88,383,4
709,260,371,7
710,1304,374,9
711,1023,364,0
712,1636,377,1
713,780,354,2
714,1306,375,9
715,88,383,4
716,261,371,7
717,434,342,3
718,1023,365,0
719,777,353,2
720,1635,377,1
721,1304,375,9
722,88,383,4
723,434,342,3
724,261,372,7
725,1022,364,0
726,776,351,2
727,1635,376,1
728,1305,373,9
729,432,340,3
730,260,369,7
731,88,380,4
732,1022,363,0
733,1635,375,1
734,777,351,2
735,1304,372,9
736,88,379,4
737,431,339,3
738,260,368,7
739,1023,362,0
740,1636,375,1
741,780,351,2
742,1305,372,9
743,88,380,4
744,261,369,7
745,432,340,3
746,1023,363,0
747,1636,375,1
748,778,352,2
749,1306,372,9
750,88,382,4
751,261,369,7
752,432,340,3
753,1023,364,0
754,1636,375,1
755,778,352,2
756,1306,373,9
757,261,370,7
758,88,382,4
759,433,340,3
760,1022,363,0
761,1635,374,1
762,778,350,2
763,260,368,7
764,88,380,4
765,1305,371,9
766,431,338,3
767,1023,362,0
768,1635,374,1
769,774,352,2
770,260,367,7
771,1306,371,9
772,88,379,4
773,433,338,3
774,1023,362,0
775,1636,374,1
776,1306,372,9
777,780,352,2
778,434,340,3
779,88,381,4
780,262,368,7
781,1024,363,0
782,1637,374,1
783,1306,372,9
784,782,353,2
785,435,341,3
786,264,369,7
787,89,382,4
788,1023,363,0
789,1637,374,1
790,1306,373,9
791,783,354,2
792,264,370,7
793,435,341,3
794,89,382,4
795,1024,363,0
796,1637,375,1
797,1307,373,9
798,782,354,2
799,436,342,3
800,89,383,4
801,263,370,7
802,1024,364,0
803,1637,375,1
804,1307,373,9
805,783,354,2
806,438,342,3
807,264,371,7
808,89,383,4
809,1024,364,0
810,1637,376,1
811,1308,373,9
812,783,355,2
813,436,342,3
814,264,371,7
815,89,383,4
816,1024,365,0
817,1638,376,1
818,783,357,2
819,1308,375,9
820,437,343,3
821,264,372,7
822,89,384,4
823,1025,365,0
824,1638,376,1
825,1307,374,9
826,782,357,2
827,438,343,3
828,265,372,7
829,89,384,4
830,1024,364,0
831,1638,376,1
832,1306,373,9
833,783,356,2
834,436,343,3
835,265,371,7
836,89,384,4
837,1638,376,1
838,1024,365,0
839,783,357,2
840,1307,374,9
841,438,343,3
842,265,372,7
843,89,384,4
844,1024,364,0
845,1637,376,1
846,1307,374,9
847,783,355,2
848,438,343,3
849,265,372,7
850,89,384,4
851,1024,364,0
852,1637,375,1
853,1307,374,9
854,783,355,2
855,264,371,7
856,437,342,3
857,89,384,4
858,1024,364,0
859,1637,376,1
860,783,355,2
861,1307,374,9
862,437,343,3
863,265,371,7
864,89,383,4
865,1024,365,0
866,1308,374,9
867,1638,376,1
868,783,356,2
869,265,371,7
870,437,343,3
871,89,384,4
872,1024,365,0
873,1638,376,1
874,1308,374,9
875,783,356,2
876,437,344,3
877,264,371,7
878,89,384,4
879,1025,365,0
880,1637,376,1
881,1307,375,9
882,783,356,2
883,264,371,7
884,437,343,3
885,89,383,4
886,1024,365,0
887,1637,377,1
888,1307,375,9
889,783,357,2
890,436,343,3
891,265,372,7
892,89,385,4
893,1024,366,0
894,1638,377,1
895,1307,375,9
896,783,357,2
897,437,343,3
898,89,384,4
899,265,372,7
900,1024,365,0
901,1638,376,1
902,783,355,2
903,1309,374,9
904,437,343,3
905,265,371,7
906,89,384,4
907,1024,366,0
908,1638,376,1
909,1308,375,9
910,783,357,2
911,264,372,7
912,437,344,3
913,89,385,4
914,1025,365,0
915,1306,375,9
916,1638,377,1
917,783,358,2
918,438,344,3
919,265,372,7
920,89,385,4
921,1024,364,0
922,1638,376,1
923,1309,374,9
924,783,355,2
925,264,372,7
926,437,343,3
927,89,383,4
928,1024,364,0
929,1637,376,1
930,1307,374,9
931,783,356,2
932,265,372,7
933,437,343,3
934,89,384,4
935,1024,365,0
936,1308,374,9
937,1637,376,1
938,783,357,2
939,438,344,3
940,265,371,7
941,89,384,4
942,1024,364,0
943,1638,376,1
944,1307,375,9
945,782,357,2
946,265,372,7
947,437,343,3
948,89,384,4
949,1024,364,0
950,1637,376,1
951,1307,374,9
952,783,356,2
953,438,343,3
954,265,372,7
955,89,384,4
956,1025,364,0
957,1637,376,1
958,1308,374,9
959,782,357,2
960,436,343,3
961,265,372,7
962,89,384,4
963,1024,364,0
964,1637,376,1
965,1306,374,9
966,783,355,2
967,264,372,7
968,89,384,4
969,437,343,3
970,1024,365,0
971,1306,374,9
972,1637,376,1
973,783,356,2
974,265,372,7
975,436,343,3
976,89,383,4
977,1024,365,0
978,1637,376,1
979,1307,375,9
980,783,356,2
981,437,343,3
982,264,372,7
983,89,384,4
984,1024,365,0
985,1638,376,1
986,1308,374,9
987,783,355,2
988,264,372,7
989,436,343,3
990,89,384,4
991,1024,365,0
992,1638,376,1
993,1306,375,9
994,782,356,2
995,436,343,3
996,264,372,7
997,89,385,4
998,1024,365,0
999,1637,376,1
1000,1307,374,9
1001,783,356,2
1002,264,372,7
1003,436,343,3
1004,89,384,4
1005,1024,365,0
1006,1637,377,1
1007,1306,374,9
1008,783,357,2
1009,425,340,3
1010,264,372,7
1011,575,383,5
1012,89,384,4
1013,1024,365,0
1014,1308,374,9
1015,1637,376,1
1016,783,355,2
1017,565,393,5
1018,426,340,3
1019,264,372,7
1020,89,384,4
1021,1024,365,0
1022,1637,376,1
1023,782,357,2
1024,1306,374,9
1025,264,372,7
1026,568,390,5
1027,89,384,4
1028,426,340,3
1029,1024,364,0
1030,1637,376,1
1031,783,356,2
1032,1308,374,9
1033,564,393,5
1034,264,371,7
1035,425,340,3
1036,89,383,4
1037,1024,365,0
1038,1637,376,1
1039,1307,374,9
1040,783,356,2
1041,567,392,5
1042,264,372,7
1043,89,384,4
1044,426,340,3
1045,1024,365,0
1046,1306,374,9
1047,1637,376,1
1048,783,356,2
1049,566,391,5
1050,263,371,7
1051,425,340,3
1052,89,384,4
1053,1023,365,0
1054,1305,375,9
1055,1636,376,1
1056,783,355,2
1057,567,389,5
1058,424,339,3
1059,263,371,7
1060,88,384,4
1061,1636,376,1
1062,1024,364,0
1063,1305,374,9
1064,782,355,2
1065,566,390,5
1066,263,370,7
1067,425,339,3
1068,88,383,4
1069,1636,376,1
1070,1023,364,0
1071,1305,374,9
1072,782,355,2
1073,424,339,3
1074,565,391,5
1075,263,371,7
1076,88,382,4
1077,1023,364,0
1078,1636,376,1
1079,783,355,2
1080,1306,374,9
1081,563,390,5
1082,425,339,3
1083,264,370,7
1084,89,383,4
1085,1023,365,0
1086,1305,375,9
1087,1636,376,1
1088,781,354,2
1089,562,392,5
1090,262,371,7
1091,88,382,4
1092,423,338,3
1093,1023,365,0
1094,1636,377,1
1095,783,356,2
1096,1306,374,9
1097,565,391,5
1098,424,340,3
1099,263,371,7
1100,88,383,4
1101,1023,364,0
1102,1637,377,1
1103,1307,375,9
1104,782,356,2
1105,561,394,5
1106,425,340,3
1107,264,371,7
1108,89,384,4
1109,1023,366,0
1110,1637,377,1
1111,1306,375,9
1112,781,357,2
1113,424,340,3
1114,565,391,5
1115,263,371,7
1116,89,384,4
1117,1023,365,0
1118,1637,377,1
1119,1307,374,9
1120,783,354,2
1121,425,339,3
1122,567,391,5
1123,264,372,7
1124,89,384,4
1125,1023,366,0
1126,1637,377,1
1127,1306,375,9
1128,782,356,2
1129,425,339,3
1130,565,391,5
1131,264,371,7
1132,89,384,4
1133,1024,365,0
1134,1637,377,1
1135,1307,376,9
1136,783,357,2
1137,563,393,5
1138,264,372,7
1139,425,341,3
1140,89,385,4
1141,1032,365,0
1142,1637,378,1
1143,782,358,2
1144,563,396,5
1145,426,341,3
1146,89,386,4
1147,263,372,7
1148,1031,366,0
1149,1636,378,1
1150,782,356,2
1151,565,392,5
1152,425,340,3
1153,89,385,4
1154,263,371,7
1155,1031,366,0
1156,1637,378,1
1157,780,358,2
1158,562,396,5
1159,89,385,4
1160,263,372,7
1161,425,340,3
1162,1032,365,0
1163,1637,377,1
1164,782,357,2
1165,561,395,5
1166,425,340,3
1167,264,371,7
1168,89,385,4
1169,1032,365,0
1170,1637,376,1
1171,783,357,2
1172,426,340,3
1173,562,394,5
1174,264,372,7
1175,89,385,4
1176,1638,376,1
1177,1032,365,0
1178,782,357,2
1179,561,396,5
1180,264,371,7
1181,89,384,4
1182,426,341,3
1183,1638,377,1
1184,1032,365,0
1185,783,357,2
1186,564,395,5
1187,265,372,7
1188,426,340,3
1189,89,385,4
1190,1032,365,0
1191,1638,377,1
1192,783,358,2
1193,265,372,7
1194,567,392,5
1195,89,385,4
1196,427,340,3
1197,1032,366,0
1198,1638,377,1
1199,783,357,2
1200,564,395,5
1201,266,372,7
1202,89,385,4
1203,427,341,3
1204,1032,366,0
1205,1638,377,1
1206,783,358,2
1207,566,393,5
1208,264,372,7
1209,89,386,4
1210,426,341,3
1211,1032,366,0
1212,1638,377,1
1213,783,357,2
1214,566,394,5
1215,264,372,7
1216,83,386,4
1217,425,340,3
1218,1032,365,0
1219,782,358,2
1220,1641,376,1
1221,568,392,5
1222,265,372,7
1223,89,386,4
1224,425,341,3
1225,1032,365,0
1226,1638,377,1
1227,783,357,2
1228,567,394,5
1229,265,372,7
1230,89,385,4
1231,425,340,3
1232,1032,366,0
1233,1638,377,1
1234,782,357,2
1235,564,395,5
1236,265,372,7
1237,89,386,4
1238,426,341,3
1239,1033,366,0
1240,1638,378,1
1241,783,358,2
1242,564,396,5
1243,264,372,7
1244,89,386,4
1245,425,341,3
1246,1032,366,0
1247,1637,377,1
1248,783,357,2
1249,265,372,7
1250,566,394,5
1251,89,385,4
1252,426,341,3
1253,1033,365,0
1254,783,357,2
1255,1635,377,1
1256,564,395,5
1257,266,372,7
1258,90,385,4
1259,426,341,3
1260,1638,377,1
1261,783,358,2
1262,1031,367,0
1263,562,395,5
1264,264,372,7
1265,89,386,4
1266,425,341,3
1267,1638,377,1
1268,1032,365,0
1269,783,358,2
1270,567,393,5
1271,89,385,4
1272,264,372,7
1273,425,341,3
1274,1637,377,1
1275,1032,365,0
1276,782,358,2
1277,567,393,5
1278,265,372,7
1279,89,385,4
1280,425,341,3
1281,1637,377,1
1282,783,358,2
1283,1033,366,0
1284,567,391,5
1285,264,372,7
1286,89,385,4
1287,426,341,3
1288,1032,365,0
1289,1638,376,1
1290,783,358,2
1291,563,396,5
1292,265,371,7
1293,89,384,4
1294,425,341,3
1295,1638,377,1
1296,1032,365,0
1297,783,357,2
1298,570,391,5
1299,265,372,7
1300,89,386,4
1301,425,341,3
1302,1032,366,0
1303,1637,377,1
1304,782,358,2
1305,264,372,7
1306,565,393,5
1307,89,385,4
1308,426,341,3
1309,1032,365,0
1310,1637,377,1
1311,784,357,2
1312,566,392,5
1313,425,341,3
1314,89,385,4
1315,263,372,7
1316,1031,366,0
1317,1636,377,1
1318,777,357,2
1319,426,340,3
1320,567,392,5
1321,89,385,4
1322,264,372,7
1323,1031,366,0
1324,1637,377,1
1325,782,355,2
1326,561,395,5
1327,426,341,3
1328,89,385,4
1329,264,372,7
1330,1031,365,0
1331,1636,376,1
1332,783,359,2
1333,567,390,5
1334,424,340,3
1335,88,384,4
1336,265,372,7
1337,1031,365,0
1338,1636,377,1
1339,782,356,2
1340,424,340,3
1341,567,391,5
1342,89,385,4
1343,264,372,7
1344,1030,365,0
1345,1635,376,1
1346,780,355,2
1347,88,384,4
1348,566,390,5
1349,423,340,3
1350,1854,436,6
1351,263,371,7
1352,1030,364,0
1353,1635,376,1
1354,783,356,2
1355,559,393,5
1356,424,340,3
1357,262,370,7
1358,1859,437,6
1359,88,384,4
1360,1031,365,0
1361,1637,376,1
1362,782,356,2
1363,563,393,5
1364,425,340,3
1365,1859,435,6
1366,89,384,4
1367,264,371,7
1368,1031,365,0
1369,782,357,2
1370,564,393,5
1371,1637,377,1
1372,426,341,3
1373,89,385,4
1374,264,372,7
1375,1859,439,6
1376,1031,365,0
1377,1637,377,1
1378,783,356,2
1379,425,340,3
1380,561,394,5
1381,1859,437,6
1382,89,385,4
1383,264,371,7
1384,1031,365,0
1385,1635,378,1
1386,782,357,2
1387,564,392,5
1388,426,341,3
1389,89,385,4
1390,1859,438,6
1391,264,372,7
1392,1030,365,0
1393,1635,378,1
1394,781,356,2
1395,562,394,5
1396,88,384,4
1397,425,340,3
1398,1859,440,6
1399,263,371,7
1400,1031,365,0
1401,1636,378,1
1402,782,355,2
1403,567,391,5
1404,88,384,4
1405,265,372,7
1406,1859,439,6
1407,425,340,3
1408,1031,365,0
1409,782,356,2
1410,1635,377,1
1411,561,395,5
1412,89,384,4
1413,266,365,7
1414,1859,441,6
1415,425,340,3
1416,1030,365,0
1417,782,356,2
1418,563,392,5
1419,88,384,4
1420,263,372,7
1421,1635,378,1
1422,1858,438,6
1423,426,340,3
1424,1031,366,0
1425,782,356,2
1426,562,394,5
1427,263,372,7
1428,1636,377,1
1429,89,384,4
1430,1859,438,6
1431,425,341,3
1432,1032,365,0
1433,1637,376,1
1434,783,357,2
1435,425,340,3
1436,562,394,5
1437,89,384,4
1438,1860,438,6
1439,1032,364,0
1440,1637,375,1
1441,782,355,2
1442,424,339,3
1443,569,388,5
1444,1860,437,6
1445,90,382,4
1446,1031,364,0
1447,1638,375,1
1448,782,355,2
1449,564,391,5
1450,424,339,3
1451,89,383,4
1452,1859,436,6
1453,1032,364,0
1454,1637,376,1
1455,783,356,2
1456,426,340,3
1457,562,392,5
1458,90,384,4
1459,1859,436,6
1460,1031,364,0
1461,1636,376,1
1462,781,356,2
1463,569,388,5
1464,425,339,3
1465,89,382,4
1466,1859,441,6
1467,1032,364,0
1468,782,355,2
1469,1637,376,1
1470,569,389,5
1471,425,339,3
1472,89,382,4
1473,1859,438,6
1474,1032,364,0
1475,1638,376,1
1476,783,357,2
1477,564,393,5
1478,89,384,4
1479,425,340,3
1480,1860,437,6
1481,1032,365,0
1482,1638,377,1
1483,783,357,2
1484,564,393,5
1485,425,341,3
1486,1860,439,6
1487,89,385,4
1488,1032,365,0
1489,1638,377,1
1490,783,357,2
1491,426,341,3
1492,566,393,5
1493,89,384,4
1494,1859,438,6
1495,1032,365,0
1496,1638,377,1
1497,783,358,2
1498,425,341,3
1499,566,394,5
1500,89,385,4
1501,1860,438,6
1502,1032,365,0
1503,1637,376,1
1504,783,357,2
1505,426,340,3
1506,564,394,5
1507,89,385,4
1508,1860,438,6
1509,1032,366,0
1510,1637,377,1
1511,780,357,2
1512,426,341,3
1513,567,391,5
1514,89,386,4
1515,1859,439,6
1516,1032,364,0
1517,1637,376,1
1518,782,356,2
1519,565,393,5
1520,425,339,3
1521,1859,438,6
1522,90,384,4
1523,1032,365,0
1524,783,357,2
1525,1637,376,1
1526,561,394,5
1527,425,340,3
1528,89,384,4
1529,1860,437,6
1530,1032,364,0
1531,1637,376,1
1532,782,357,2
1533,563,395,5
1534,425,340,3
1535,1859,438,6
1536,89,384,4
1537,1032,364,0
1538,1638,376,1
1539,783,357,2
1540,425,340,3
1541,566,393,5
1542,89,385,4
1543,1859,438,6
1544,1032,364,0
1545,1638,376,1
1546,783,356,2
1547,564,394,5
1548,89,385,4
1549,425,340,3
1550,1860,437,6
1551,1032,364,0
1552,1638,376,1
1553,783,357,2
1554,564,394,5
1555,425,340,3
1556,89,384,4
1557,1859,436,6
1558,1032,365,0
1559,1638,376,1
1560,783,356,2
1561,426,340,3
1562,566,392,5
1563,89,385,4
1564,1860,437,6
1565,1032,364,0
1566,1638,376,1
1567,783,356,2
1568,425,339,3
1569,563,393,5
1570,1859,436,6
1571,89,384,4
1572,1032,365,0
1573,1638,376,1
1574,783,356,2
1575,425,340,3
1576,566,391,5
1577,1860,437,6
1578,89,384,4
1579,1032,365,0
1580,1638,376,1
1581,782,356,2
1582,565,394,5
1583,425,341,3
1584,1860,438,6
1585,89,385,4
1586,1032,365,0
1587,1638,376,1
1588,783,357,2
1589,568,392,5
1590,1860,439,6
